date,value
2016-11-14,16.4962499141693
2016-11-15,16.465415875117
2016-11-16,16.5033334096273
2016-11-17,16.5441667238871
2016-11-18,16.555832862854
2016-11-19,16.5045834382375
2016-11-20,16.4391667842865
2016-11-21,16.4320836861928
2016-11-22,16.4262502193451
2016-11-23,16.3754168351491
2016-11-24,16.3054164250692
2016-11-25,16.1908333301544
2016-11-26,16.0937499205271
2016-11-27,15.9995834827423
2016-11-28,15.8691666126251
2016-11-29,15.7087498903275
2016-11-30,15.5970834096273
2016-12-01,15.5870833396912
2016-12-02,15.5641667445501
2016-12-03,15.42458319664
2016-12-04,15.3145833412806
2016-12-05,15.2287499507268
2016-12-06,15.1404167016347
2016-12-07,15.1083333492279
2016-12-08,15.1054167747498
2016-12-09,15.1325000127157
2016-12-10,15.1700000365575
2016-12-11,15.1512500445048
2016-12-12,15.0841666460037
2016-12-13,14.9424999952316
2016-12-14,14.9116666316986
2016-12-15,14.8629166285197
2016-12-16,14.7787500619888
2016-12-17,14.6808333396912
2016-12-18,14.6624999046326
2016-12-19,14.6858333349228
2016-12-20,14.6491666237513
2016-12-21,14.555833419164
2016-12-22,14.4716666936874
2016-12-23,14.4729166825612
2016-12-24,14.4616667032242
2016-12-25,14.4779167175293
2016-12-26,14.5395834445953
2016-12-27,14.4766665299733
2016-12-28,14.4712500969569
2016-12-29,14.4587500890096
2016-12-30,14.3379166126251
2016-12-31,14.2220833301544
2017-01-01,14.212916692098
2017-01-02,14.1612498760223
2017-01-03,14.0966668128967
2017-01-04,14.0608333349228
2017-01-05,13.9416666428248
2017-01-06,13.7720834414164
2017-01-07,13.6583332618078
2017-01-08,13.6287500460943
2017-01-09,13.6245833237966
2017-01-10,13.6045833428701
2017-01-11,13.5216668049494
2017-01-12,13.5229167938232
2017-01-13,13.527500073115
2017-01-14,13.4820832411448
2017-01-15,13.4420832792918
2017-01-16,13.3883333206177
2017-01-17,13.2900000413259
2017-01-18,13.1941666205724
2017-01-19,13.1387499968211
2017-01-20,13.1454166968664
2017-01-21,13.1687499682109
2017-01-22,13.1500000158946
2017-01-26,12.9091666142146
2017-01-27,12.8816666205724
2017-01-28,12.8008333444595
2017-01-29,12.7724999586741
2017-01-30,12.8058336575826
2017-01-31,12.7925000190735
2017-02-01,12.784166653951
2017-02-02,12.7079165776571
2017-02-03,12.7262500127157
2017-02-04,12.7541667222977
2017-02-05,12.7579168478648
2017-02-06,12.7024999459585
2017-02-07,12.6379166841507
2017-02-08,12.5579168001811
2017-02-09,12.458333214124
2017-02-10,12.3770833015442
2017-02-11,12.3475000858307
2017-02-12,12.3191666603088
2017-02-13,12.2645833492279
2017-02-14,12.2016665538152
2017-02-15,12.2229166825612
2017-02-16,12.2554165124893
2017-02-17,12.3341666062673
2017-02-18,12.3562500476837
2017-02-19,12.359583457311
2017-02-20,12.3954166571299
2017-02-21,12.4683332443237
2017-02-22,12.4537499348323
2017-02-23,12.434583346049
2017-02-24,12.3929167588552
2017-02-25,12.2925001382828
2017-02-26,12.3158333301544
2017-02-27,12.403749982516
2017-02-28,12.4304167429606
2017-03-01,12.3733333746592
2017-03-02,12.2937499682109
2017-03-03,12.27208340168
2017-03-04,12.3033333222071
2017-03-05,12.3604168097178
2017-03-06,12.3366667032242
2017-03-07,12.2579165697098
2017-03-08,12.2354166905085
2017-03-17,12.0962500969569
2017-03-18,12.1100000143051
2017-03-19,12.0470832983653
2017-03-20,12.1299999952316
2017-03-21,12.2283332745234
2017-03-22,12.2191665967306
2017-03-23,12.2108331918716
2017-03-24,12.1866665681203
2017-03-25,12.1850000222524
2017-03-27,12.1816665728887
2017-03-28,12.2212498982747
2017-03-29,12.2737500270208
2017-03-30,12.3070833683014
2017-03-31,12.3691668113073
2017-04-01,12.435416618983
2017-04-02,12.4899999300639
2017-04-03,12.4566665093104
2017-04-04,12.3962499698003
2017-04-05,12.3858331839244
2017-04-06,12.2995833158493
2017-04-07,12.2545832395554
2017-04-08,12.2445832490921
2017-04-09,12.2762500445048
2017-04-10,12.2699999809265
2017-04-11,12.1691665649414
2017-04-12,12.0658333301544
2017-04-13,11.993750055631
2017-04-14,11.920833269755
2017-04-15,11.865000128746
2017-04-16,11.7295832236608
2017-04-17,11.6474999984105
2017-04-18,11.5737500588099
2017-04-19,11.4795832633972
2017-04-20,11.402500073115
2017-04-21,11.4374999205271
2017-04-22,11.4645831982295
2017-04-23,11.4070833921433
2017-04-24,11.3799999554952
2017-04-25,11.4337499539057
2017-04-26,11.3849999507268
2017-04-27,11.3812500238419
2017-04-28,11.375
2017-04-29,11.3779166936874
2017-04-30,11.3225001096725
2017-05-01,11.3612500031789
2017-05-02,11.4091665347417
2017-05-03,11.4108333587646
2017-05-04,11.4333331982295
2017-05-05,11.3895833492279
2017-05-06,11.4354165395101
2017-05-10,11.0724999904633
2017-05-11,11.078750093778
2017-05-12,11.1804167032242
2017-05-18,11.2145834366481
2017-05-19,11.3195833762487
2017-05-20,11.3608332872391
2017-05-21,11.3225000301997
2017-05-22,11.2916668256124
2017-05-23,11.2620833317439
2017-05-24,11.1970833937327
2017-05-25,11.1170831918716
2017-05-26,11.082083384196
2017-05-27,11.0929167668025
2017-05-28,11.1333332856496
2017-05-29,11.1908333698908
2017-05-30,11.2366665204366
2017-05-31,11.2416665156682
2017-06-01,11.2029166221619
2017-06-02,11.1720832586288
2017-06-03,11.158333102862
2017-06-04,11.1400001049042
2017-06-05,11.1070833603541
2017-06-06,11.1108333269755
2017-06-07,11.1083333492279
2017-06-08,11.0645833015442
2017-06-09,11.0904166698456
2017-06-10,11.1266665856044
2017-06-11,11.1645833651225
2017-06-12,11.2254167000453
2017-06-13,11.2191667159398
2017-06-14,11.193333307902
2017-06-15,11.2083333333333
2017-06-16,11.2491666475932
2017-06-17,11.2195831537247
2017-06-18,11.2383332649867
2017-06-19,11.302500128746
2017-06-20,11.3958332935969
2017-07-13,10.6504166523616
2017-07-14,10.9383333921433
2017-07-15,11.1320832967758
2017-07-16,11.2883332967758
2017-07-17,11.4691666762034
2017-07-18,11.6470833222071
2017-07-19,11.8179167906443
2017-07-20,12.0150000254313
2017-07-21,12.1949999332428
2017-07-22,12.3308333555857
2017-07-23,12.4629166523616
2017-07-24,12.5525001684825
2017-07-25,12.614999850591
2017-07-26,12.6441666682561
2017-08-03,12.935416618983
2017-08-04,13.0604165792465
2017-08-05,13.1337498823802
2017-08-06,13.1462500890096
2017-08-07,13.1633332967758
2017-08-08,13.2320832411448
2017-08-09,13.3516666491826
2017-08-11,13.4145830869675
2017-08-12,13.3570833206177
2017-08-13,13.3262501160304
2017-08-14,13.3475000858307
2017-08-15,13.3987499872843
2017-08-16,13.4870832363764
2017-08-17,13.5079166491826
2017-08-18,13.5958332618078
2017-08-19,13.6350000699361
2017-08-20,13.6099999745687
2017-08-21,13.5766665935516
2017-08-22,13.5404167572657
2017-08-23,13.5100000301997
2017-08-24,13.4899999698003
2017-08-25,13.5383334159851
2017-08-26,13.5683334271113
2017-08-27,13.6362499396006
2017-08-28,13.6649999221166
2017-08-29,13.6824999650319
2017-08-30,13.7787500222524
